K,Feature_Time,KMeans_Time,SVM_Train_Time,Total_Time,Train_Accuracy,Test_Accuracy,Confusion_Matrix,CPU_Usage,RAM_Usage
50,91.54188418388367,3.807565927505493,0.04163193702697754,4.682531356811523,0.892,0.75,"[[32 14]
 [ 6 28]]",26.5,68.0
150,91.54188418388367,5.842331409454346,0.03253889083862305,7.091152667999268,0.97,0.8125,"[[39  7]
 [ 8 26]]",24.6,68.1
300,91.54188418388367,10.653721570968628,0.07903027534484863,12.726763248443604,0.974,0.775,"[[37  9]
 [ 9 25]]",23.6,68.2
500,91.54188418388367,17.50960874557495,0.10380125045776367,20.511804819107056,0.988,0.8125,"[[38  8]
 [ 7 27]]",22.1,67.8
800,91.54188418388367,25.903896808624268,0.22168326377868652,30.360690593719482,0.992,0.8,"[[35 11]
 [ 5 29]]",20.1,67.6
1000,91.54188418388367,33.15184164047241,0.2851674556732178,39.01893615722656,0.998,0.8,"[[36 10]
 [ 6 28]]",18.0,67.8
1300,91.54188418388367,41.46471643447876,0.2664041519165039,48.504868030548096,1.0,0.775,"[[34 12]
 [ 6 28]]",18.3,67.6
